Date,value
2013-01-01,43355.761
2013-02-01,43388.016
2013-03-01,43467.837
2013-04-01,43523.878
2013-05-01,43592.624
2013-06-01,43662.467
2013-07-01,43772.726
2013-08-01,43882.57
2013-09-01,43982.185
2013-10-01,44091.229
2013-11-01,44170.496
2013-12-01,44246.865
2014-01-01,44790.966
2014-02-01,44833.017
2014-03-01,44917.459
2014-04-01,44974.749
2014-05-01,45049.021
2014-06-01,45124.361
2014-07-01,45238.672
2014-08-01,45344.678
2014-09-01,45444.56
2014-10-01,45551.559
2014-11-01,45626.976
2014-12-01,45703.961
2015-01-01,46247.978
2015-02-01,46270.314
2015-03-01,46340.183
2015-04-01,46382.145
2015-05-01,46449.998
2015-06-01,46530.835
2015-07-01,46640.296
2015-08-01,46745.49
2015-09-01,46851.603
2015-10-01,46961.904
2015-11-01,47037.349
2015-12-01,47113.333
2016-01-01,47691.571
2016-02-01,47738.064
2016-03-01,47818.626
2016-04-01,47882.51
2016-05-01,47971.848
2016-06-01,48056.308
2016-07-01,48175.47
2016-08-01,48283.828
2016-09-01,48389.42
2016-10-01,48498.699
2016-11-01,48573.743
2016-12-01,48638.52
2017-01-01,49255.155
2017-02-01,49299.609
2017-03-01,49378.57
2017-04-01,49433.948
2017-05-01,49512.643
2017-06-01,49604.175
2017-07-01,49726.478
2017-08-01,49843.954
2017-09-01,49960.793
2017-10-01,49963.519
2017-11-01,50043.278
2017-12-01,50114.269
2018-01-01,50867.936
2018-02-01,50890.77
2018-03-01,50967.882
2018-04-01,51024.047
2018-05-01,51105.39
2018-06-01,51197.211
2018-07-01,51326.319
2018-08-01,51446.259
2018-09-01,51562.403
2018-10-01,51673.889
2018-11-01,51755.128
2018-12-01,51829.538
2019-01-01,52501.616
2019-02-01,52553.695
2019-03-01,52641.555
2019-04-01,52707.685
2019-05-01,52797.694
2019-06-01,52889.52
2019-07-01,53019.718
2019-08-01,53141.77
2019-09-01,53259.726
2019-10-01,53378.676
2019-11-01,53465.572
2019-12-01,53540.237
2020-01-01,54169.756
2020-02-01,54221.117
2020-03-01,54306.71
2020-04-01,54359.981
2020-05-01,54386.106
2020-06-01,54444.566
2020-07-01,54550.206
2020-08-01,54637.284
2020-09-01,54724.371
2020-10-01,54820.6
2020-11-01,54871.532
2020-12-01,54890.801
2021-01-01,55496.386
2021-02-01,55475.44
2021-03-01,55542.641
2021-04-01,55604.692
2021-05-01,55685.955
2021-06-01,55771.282
2021-07-01,55894.819
2021-08-01,56009.85
2021-09-01,56095.239
2021-10-01,56167.529
2021-11-01,56215.629
2021-12-01,56256.395
2022-01-01,56941.081
2022-02-01,56923.367
2022-03-01,56985.492
2022-04-01,57062.595
2022-05-01,57164.92
2022-06-01,57259.491
2022-07-01,57383.66
2022-08-01,57485.312
2022-09-01,57579.061
2022-10-01,57667.525
2022-11-01,57719.198
2022-12-01,57763.301
2023-01-01,57920.298
2023-02-01,57916.358
