Date,value
1/1/1990,161370485
2/1/1990,162782084
3/1/1990,168264666
4/1/1990,181836782
5/1/1990,185490409
6/1/1990,195183574
7/1/1990,198207915
8/1/1990,190133874
9/1/1990,203716547
10/1/1990,204817333
11/1/1990,208541416
12/1/1990,214359480
1/1/1991,223943109
2/1/1991,224435287
3/1/1991,228151390
4/1/1991,238426900
5/1/1991,238372267
6/1/1991,249353799
7/1/1991,251668334
8/1/1991,251602960
9/1/1991,255557108
10/1/1991,256179872
11/1/1991,256430881
12/1/1991,268050223
1/1/1992,270259528
2/1/1992,271054211
3/1/1992,274521395
4/1/1992,286624016
5/1/1992,288762498
6/1/1992,302985900
7/1/1992,304707675
8/1/1992,304413572
9/1/1992,306524017
10/1/1992,306460967
11/1/1992,306702194
12/1/1992,306737426
1/1/1993,319438912
2/1/1993,320370470
3/1/1993,322124970
4/1/1993,333714692
5/1/1993,335461248
6/1/1993,350250523
7/1/1993,352045131
8/1/1993,351472102
9/1/1993,355509698
10/1/1993,354940448
11/1/1993,354997275
12/1/1993,369335099
1/1/1994,374070321
2/1/1994,374844393
3/1/1994,377765203
4/1/1994,390072607
5/1/1994,392862298
6/1/1994,409673869
7/1/1994,410811954
8/1/1994,411702496
9/1/1994,413424580
10/1/1994,414001387
11/1/1994,398877700
12/1/1994,413430518
1/1/1995,417229069
2/1/1995,417357452
3/1/1995,419353882
4/1/1995,430267866
5/1/1995,431146099
6/1/1995,446142674
7/1/1995,446735456
8/1/1995,445943943
9/1/1995,447946672
10/1/1995,444667136
11/1/1995,442999214
12/1/1995,458612196
1/1/1996,462720120
2/1/1996,462196409
3/1/1996,464736963
4/1/1996,477882757
5/1/1996,478596478
6/1/1996,496714880
7/1/1996,498067057
8/1/1996,497195828
9/1/1996,499403243
10/1/1996,498103659
11/1/1996,496661411
12/1/1996,513894218
1/1/1997,521581923
2/1/1997,522272611
3/1/1997,525959958
4/1/1997,536847603
5/1/1997,538005399
6/1/1997,556343935
7/1/1997,560559615
8/1/1997,562550539
9/1/1997,567444638
10/1/1997,567905012
11/1/1997,567452605
12/1/1997,589082352
1/1/1998,598426482
2/1/1998,600255620
3/1/1998,605741280
4/1/1998,618966640
5/1/1998,621247789
6/1/1998,648883032
7/1/1998,651777337
8/1/1998,653015673
9/1/1998,653281692
10/1/1998,655460575
11/1/1998,656371296
12/1/1998,662376042
1/1/1999,692978901
2/1/1999,695929795
3/1/1999,701098211
4/1/1999,716666676
5/1/1999,720469010
6/1/1999,749287443
7/1/1999,753396425
8/1/1999,755856639
9/1/1999,762225947
10/1/1999,766285331
11/1/1999,768421921
12/1/1999,798894280
1/1/2000,812362554
2/1/2000,816433373
3/1/2000,823343563
4/1/2000,840621522
5/1/2000,843466490
6/1/2000,877948381
7/1/2000,883378120
8/1/2000,889172013
9/1/2000,893519010
10/1/2000,896121258
11/1/2000,898025682
12/1/2000,930905443
1/1/2001,945070818
2/1/2001,948900985
3/1/2001,958190386
4/1/2001,976216113
5/1/2001,980716075
6/1/2001,1022269948
7/1/2001,1026351153
8/1/2001,1009407970
9/1/2001,1034113502
10/1/2001,1036460676
11/1/2001,1038507612
12/1/2001,1071794738
1/1/2002,1085847474
2/1/2002,1089319209
3/1/2002,1096980809
4/1/2002,1115478219
5/1/2002,1119990192
6/1/2002,1160808626
7/1/2002,1165549074
8/1/2002,1167643136
9/1/2002,1173759285
10/1/2002,1176379543
11/1/2002,1178345484
12/1/2002,1217701573
1/1/2003,1230857330
2/1/2003,1233775327
3/1/2003,1239102400
4/1/2003,1256208203
5/1/2003,1260395327
6/1/2003,1303514898
7/1/2003,1307058548
8/1/2003,1309090804
9/1/2003,1313426931
10/1/2003,1316141510
11/1/2003,1317945604
12/1/2003,1355111384
1/1/2004,1369638731
2/1/2004,1371342156
3/1/2004,1376095273
4/1/2004,1395229623
5/1/2004,1398748399
6/1/2004,1441029946
7/1/2004,1445358802
8/1/2004,1447103856
9/1/2004,1452598698
10/1/2004,1457186432
11/1/2004,1459067679
12/1/2004,1500764334
1/1/2005,1515893329
2/1/2005,1517559645
3/1/2005,1524081971
4/1/2005,1543269628
5/1/2005,1546637018
6/1/2005,1598784140
7/1/2005,1604712737
8/1/2005,1607330067
9/1/2005,1616158760
10/1/2005,1618657652
11/1/2005,1620344720
12/1/2005,1663725978
1/1/2006,1679132189
2/1/2006,1682806293
3/1/2006,1693144659
4/1/2006,1715422701
5/1/2006,1719732151
6/1/2006,1772302032
7/1/2006,1777547118
8/1/2006,1785216445
9/1/2006,1793129284
10/1/2006,1795429978
11/1/2006,1796898907
12/1/2006,1845338862
1/1/2007,1862271361
2/1/2007,1866742348
3/1/2007,1877697346
4/1/2007,1900457010
5/1/2007,1904799922
6/1/2007,1959115519
7/1/2007,1964688669
8/1/2007,1948807749
9/1/2007,1968261825
10/1/2007,1970843741
11/1/2007,1972416480
12/1/2007,2024391760
1/1/2008,2042615960
2/1/2008,2046489858
3/1/2008,2054564499
4/1/2008,2076763497
5/1/2008,2081808131
6/1/2008,2140243399
7/1/2008,2145094398
8/1/2008,2147095892
9/1/2008,2150651268
10/1/2008,2151971311
11/1/2008,2153752400
12/1/2008,2203403639
1/1/2009,2219314675
2/1/2009,2219965003
3/1/2009,2224242961
4/1/2009,2244103087
5/1/2009,2244655501
6/1/2009,2299667451
7/1/2009,2301364808
8/1/2009,2298092319
9/1/2009,2296315978
10/1/2009,2294984842
11/1/2009,2291857147
12/1/2009,2318780487
1/1/2010,2351446740
2/1/2010,2346855607
3/1/2010,2342395996
4/1/2010,2360704847
5/1/2010,2358554986
6/1/2010,2408633925
7/1/2010,2408711329
8/1/2010,2403046078
9/1/2010,2399110517
10/1/2010,2396723870
11/1/2010,2391235204
12/1/2010,2429513970
1/1/2011,2440570895
2/1/2011,2436033975
3/1/2011,2433539449
4/1/2011,2450012290
5/1/2011,2446613401
6/1/2011,2498210735
7/1/2011,2498080208
8/1/2011,2492617566
9/1/2011,2492531188
10/1/2011,2489493214
11/1/2011,2482481745
12/1/2011,2524898481
1/1/2012,2536951744
2/1/2012,2531745193
3/1/2012,2533598560
4/1/2012,2551077186
5/1/2012,2546279899
6/1/2012,2598606028
7/1/2012,2596371415
8/1/2012,2569713608
9/1/2012,2586697075
10/1/2012,2580770856
11/1/2012,2572536453
12/1/2012,2610272031
1/1/2013,2618653507
2/1/2013,2611958438
3/1/2013,2613913934
4/1/2013,2630298678
5/1/2013,2625156961
6/1/2013,2672228810
7/1/2013,2668963814
8/1/2013,2660513333
9/1/2013,2655598536
10/1/2013,2646433749
11/1/2013,2636661654
12/1/2013,2674489577
1/1/2014,2684147776
2/1/2014,2676215859
3/1/2014,2678623952
4/1/2014,2695194488
5/1/2014,2687932577
6/1/2014,2732024996
7/1/2014,2728184889
8/1/2014,2718700324
9/1/2014,2712805198
10/1/2014,2706080679
11/1/2014,2695603989
12/1/2014,2729270403
1/1/2015,2738583196
2/1/2015,2729687445
3/1/2015,2733613797
